raceId,year,circuit,lat,lng,milliseconds,datetime,temp,clouds,wind_speed,wind_deg,weather_main,weather_desc
1,2009,Australian Grand Prix,-37.8497,144.968,5655784,2009-03-29 06:00:00,20.81,0.0,6.7,180.0,Clear,clear sky
2,2009,Malaysian Grand Prix,2.76083,101.738,4252092,2009-04-05 09:00:00,28.15,75.0,1.0,290.0,Rain,light rain
3,2009,Chinese Grand Prix,31.3389,121.22,7063485,2009-04-19 07:00:00,19.79,100.0,10.0,140.0,Rain,moderate rain
4,2009,Bahrain Grand Prix,26.0325,50.5106,5508182,2009-04-26 12:00:00,28.76,14.0,5.01,100.0,Clouds,few clouds
5,2009,Spanish Grand Prix,41.57,2.26111,5839202,2009-05-10 12:00:00,20.27,20.0,4.1,130.0,Clouds,few clouds
6,2009,Monaco Grand Prix,43.7347,7.42056,6044282,2009-05-24 12:00:00,22.88,20.0,3.1,110.0,Clouds,few clouds
7,2009,Turkish Grand Prix,40.9517,29.405,5184848,2009-06-07 12:00:00,28.41,0.0,3.1,210.0,Clear,clear sky
8,2009,British Grand Prix,52.0786,-1.01694,4969328,2009-06-21 12:00:00,16.8,99.0,3.46,316.0,Clouds,overcast clouds
9,2009,German Grand Prix,50.3356,6.9475,5803310,2009-07-12 12:00:00,16.95,75.0,4.6,200.0,Clouds,broken clouds
10,2009,Hungarian Grand Prix,47.5789,19.2486,5903876,2009-07-26 12:00:00,24.51,0.0,9.3,300.0,Clear,clear sky
11,2009,European Grand Prix,39.4589,-0.331667,5751289,2009-08-23 12:00:00,31.33,0.0,4.1,130.0,Clear,clear sky
12,2009,Belgian Grand Prix,50.4372,5.97139,5030995,2009-08-30 12:00:00,16.14,40.0,4.0,270.0,Clouds,scattered clouds
13,2009,Italian Grand Prix,45.6156,9.28111,4581706,2009-09-13 12:00:00,25.68,20.0,1.0,290.0,Clouds,few clouds
14,2009,Singapore Grand Prix,1.2914,103.864,6966337,2009-09-27 12:00:00,30.94,75.0,2.1,220.0,Haze,haze
15,2009,Japanese Grand Prix,34.8431,136.541,5300443,2009-10-04 05:00:00,25.88,0.0,3.6,120.0,Clear,clear sky
16,2009,Brazilian Grand Prix,-23.7036,-46.6997,5543081,2009-10-18 16:00:00,25.75,75.0,4.1,300.0,Rain,moderate rain
17,2009,Abu Dhabi Grand Prix,24.4672,54.6031,5643414,2009-11-01 11:00:00,34.46,0.0,6.2,310.0,Clear,clear sky
18,2008,Australian Grand Prix,-37.8497,144.968,5690616,2008-03-16 04:30:00,38.31,20.0,7.7,360.0,Haze,haze
19,2008,Malaysian Grand Prix,2.76083,101.738,5478555,2008-03-23 07:00:00,30.08,75.0,1.5,260.0,Clouds,broken clouds
20,2008,Bahrain Grand Prix,26.0325,50.5106,5466970,2008-04-06 11:30:00,23.24,81.0,6.06,350.0,Clouds,broken clouds
21,2008,Spanish Grand Prix,41.57,2.26111,5899051,2008-04-27 12:00:00,19.68,69.0,5.1,140.0,Clouds,broken clouds
22,2008,Turkish Grand Prix,40.9517,29.405,5209451,2008-05-11 12:00:00,16.71,50.0,3.11,341.0,Clouds,scattered clouds
23,2008,Monaco Grand Prix,43.7347,7.42056,7242742,2008-05-25 12:00:00,18.08,75.0,7.2,60.0,Rain,light rain
24,2008,Canadian Grand Prix,45.5,-73.5228,5784227,2008-06-08 17:00:00,28.59,0.0,7.2,240.0,Clear,clear sky
25,2008,French Grand Prix,46.8642,3.16361,5510245,2008-06-22 12:00:00,27.41,75.0,4.1,150.0,Clouds,broken clouds
26,2008,British Grand Prix,52.0786,-1.01694,5949440,2008-07-06 12:00:00,14.04,98.0,5.41,193.0,Rain,light rain
27,2008,German Grand Prix,49.3278,8.56583,5480874,2008-07-20 12:00:00,23.2,61.0,3.98,270.0,Clouds,broken clouds
28,2008,Hungarian Grand Prix,47.5789,19.2486,5847067,2008-08-03 12:00:00,28.51,40.0,3.1,340.0,Clouds,scattered clouds
29,2008,European Grand Prix,39.4589,-0.331667,5732339,2008-08-24 12:00:00,29.93,20.0,5.1,130.0,Clouds,few clouds
30,2008,Belgian Grand Prix,50.4372,5.97139,4979394,2008-09-07 12:00:00,14.11,40.0,7.0,220.0,Clouds,scattered clouds
31,2008,Italian Grand Prix,45.6156,9.28111,5207494,2008-09-14 12:00:00,15.31,40.0,5.1,100.0,Rain,light rain
32,2008,Singapore Grand Prix,1.2914,103.864,7036304,2008-09-28 12:00:00,27.79,75.0,1.5,60.0,Haze,haze
33,2008,Japanese Grand Prix,35.3717,138.927,5421892,2008-10-12 04:30:00,19.14,99.0,1.96,167.0,Clouds,overcast clouds
34,2008,Chinese Grand Prix,31.3389,121.22,5517403,2008-10-19 07:00:00,27.67,75.0,5.0,40.0,Rain,light rain
35,2008,Brazilian Grand Prix,-23.7036,-46.6997,5651435,2008-11-02 17:00:00,25.54,75.0,10.8,340.0,Rain,light rain
36,2007,Australian Grand Prix,-37.8497,144.968,5128770,2007-03-18 03:00:00,19.17,1.0,4.6,160.0,Clear,clear sky
37,2007,Malaysian Grand Prix,2.76083,101.738,5534930,2007-04-08 07:00:00,29.85,75.0,2.6,200.0,Clouds,broken clouds
38,2007,Bahrain Grand Prix,26.0325,50.5106,5607515,2007-04-15 11:30:00,23.58,0.0,8.0,13.0,Clear,clear sky
39,2007,Spanish Grand Prix,41.57,2.26111,5496230,2007-05-13 12:00:00,23.88,0.0,1.5,220.0,Clear,clear sky
40,2007,Monaco Grand Prix,43.7347,7.42056,6029329,2007-05-27 12:00:00,19.79,40.0,7.2,210.0,Clouds,scattered clouds
41,2007,Canadian Grand Prix,45.5,-73.5228,6251292,2007-06-10 17:00:00,25.31,0.0,3.1,220.0,Clear,clear sky
42,2007,United States Grand Prix,39.795,-86.2347,5469965,2007-06-17 17:00:00,32.82,20.0,6.2,250.0,Haze,haze
43,2007,French Grand Prix,46.8642,3.16361,5454200,2007-07-01 12:00:00,20.89,75.0,4.1,290.0,Clouds,broken clouds
44,2007,British Grand Prix,52.0786,-1.01694,4903074,2007-07-08 12:00:00,18.25,66.0,3.19,239.0,Clouds,broken clouds
45,2007,European Grand Prix,50.3356,6.9475,7586358,2007-07-22 12:00:00,17.56,40.0,6.2,270.0,Clouds,scattered clouds
46,2007,Hungarian Grand Prix,47.5789,19.2486,5752991,2007-08-05 12:00:00,26.67,0.0,4.6,30.0,Clear,clear sky
47,2007,Turkish Grand Prix,40.9517,29.405,5202161,2007-08-26 12:00:00,32.0,20.0,7.2,20.0,Clouds,few clouds
48,2007,Italian Grand Prix,45.6156,9.28111,4717806,2007-09-09 12:00:00,24.41,0.0,1.0,160.0,Clear,clear sky
49,2007,Belgian Grand Prix,50.4372,5.97139,4839066,2007-09-16 12:00:00,19.12,40.0,4.0,270.0,Clouds,scattered clouds
50,2007,Japanese Grand Prix,35.3717,138.927,7234579,2007-09-30 04:30:00,16.59,100.0,1.89,27.0,Rain,light rain
51,2007,Chinese Grand Prix,31.3389,121.22,5878395,2007-10-07 06:00:00,25.93,100.0,6.0,90.0,Rain,light intensity shower rain
52,2007,Brazilian Grand Prix,-23.7036,-46.6997,5295270,2007-10-21 16:00:00,33.59,40.0,4.6,320.0,Clouds,scattered clouds
53,2006,Bahrain Grand Prix,26.0325,50.5106,5386205,2006-03-12 14:30:00,18.78,0.0,6.97,345.0,Clear,clear sky
54,2006,Malaysian Grand Prix,2.76083,101.738,5440529,2006-03-19 15:00:00,26.09,75.0,1.5,100.0,Haze,haze
55,2006,Australian Grand Prix,-37.8497,144.968,5667870,2006-04-02 14:00:00,14.47,75.0,3.1,290.0,Clouds,broken clouds
56,2006,San Marino Grand Prix,44.3439,11.7167,5466486,2006-04-23 14:00:00,24.36,12.0,2.42,222.0,Clouds,few clouds
57,2006,European Grand Prix,50.3356,6.9475,5758765,2006-05-07 14:00:00,19.08,40.0,5.0,110.0,Clouds,scattered clouds
58,2006,Spanish Grand Prix,41.57,2.26111,5181759,2006-05-14 14:00:00,22.78,97.0,4.56,202.0,Clouds,overcast clouds
59,2006,Monaco Grand Prix,43.7347,7.42056,6223116,2006-05-28 14:00:00,20.17,0.0,3.1,100.0,Clear,clear sky
60,2006,British Grand Prix,52.0786,-1.01694,5151927,2006-06-11 12:00:00,24.42,85.0,3.5,213.0,Clouds,overcast clouds
61,2006,Canadian Grand Prix,45.5,-73.5228,5677308,2006-06-25 13:00:00,22.01,0.0,2.0,50.0,Clear,clear sky
62,2006,United States Grand Prix,39.795,-86.2347,5675199,2006-07-02 14:00:00,25.9,0.0,7.1,240.0,Clear,clear sky
63,2006,French Grand Prix,46.8642,3.16361,5527803,2006-07-16 14:00:00,33.81,0.0,1.0,320.0,Clear,clear sky
64,2006,German Grand Prix,49.3278,8.56583,5271693,2006-07-30 14:00:00,31.38,20.0,2.1,180.0,Clouds,few clouds
65,2006,Hungarian Grand Prix,47.5789,19.2486,6740941,2006-08-06 14:00:00,19.18,75.0,4.0,240.0,Clouds,broken clouds
66,2006,Turkish Grand Prix,40.9517,29.405,5331082,2006-08-27 15:00:00,31.41,0.0,3.1,230.0,Clear,clear sky
67,2006,Italian Grand Prix,45.6156,9.28111,4491975,2006-09-10 14:00:00,25.06,0.0,1.5,120.0,Clear,clear sky
68,2006,Chinese Grand Prix,31.3389,121.22,5852747,2006-10-01 14:00:00,20.36,100.0,2.0,340.0,Mist,mist
69,2006,Japanese Grand Prix,34.8431,136.541,5032413,2006-10-08 14:00:00,17.27,0.0,6.2,300.0,Clear,clear sky
70,2006,Brazilian Grand Prix,-23.7036,-46.6997,5513751,2006-10-22 14:00:00,20.22,20.0,2.1,210.0,Clouds,few clouds
71,2005,Australian Grand Prix,-37.8497,144.968,5057336,2005-03-06 14:00:00,13.62,27.0,5.9,273.0,Clouds,scattered clouds
72,2005,Malaysian Grand Prix,2.76083,101.738,5493736,2005-03-20 15:00:00,27.48,75.0,0.5,80.0,Haze,haze
73,2005,Bahrain Grand Prix,26.0325,50.5106,5358531,2005-04-03 14:30:00,26.97,7.0,5.6,151.0,Clear,clear sky
74,2005,San Marino Grand Prix,44.3439,11.7167,5261921,2005-04-24 14:00:00,17.72,100.0,0.75,50.0,Clouds,overcast clouds
75,2005,Spanish Grand Prix,41.57,2.26111,5236830,2005-05-08 14:00:00,19.62,3.0,3.68,174.0,Clear,clear sky
76,2005,Monaco Grand Prix,43.7347,7.42056,6315556,2005-05-22 14:00:00,19.01,40.0,7.2,90.0,Clouds,scattered clouds
77,2005,European Grand Prix,50.3356,6.9475,5506648,2005-05-29 14:00:00,22.67,75.0,4.0,90.0,Clouds,broken clouds
78,2005,Canadian Grand Prix,45.5,-73.5228,5529290,2005-06-12 13:00:00,25.32,20.0,3.6,230.0,Clouds,few clouds
79,2005,United States Grand Prix,39.795,-86.2347,5383181,2005-06-19 14:00:00,19.02,0.0,3.1,90.0,Clear,clear sky
80,2005,French Grand Prix,46.8642,3.16361,5482232,2005-07-03 14:00:00,30.3,30.0,2.1,70.0,Clouds,scattered clouds
81,2005,British Grand Prix,52.0786,-1.01694,5069588,2005-07-10 14:00:00,26.45,45.0,3.58,33.0,Clouds,scattered clouds
82,2005,German Grand Prix,49.3278,8.56583,5188599,2005-07-24 14:00:00,22.54,0.0,3.1,190.0,Clear,clear sky
83,2005,Hungarian Grand Prix,47.5789,19.2486,5845552,2005-07-31 14:00:00,33.85,0.0,3.6,160.0,Clear,clear sky
84,2005,Turkish Grand Prix,40.9517,29.405,5074454,2005-08-21 15:00:00,26.11,40.0,4.1,10.0,Clouds,scattered clouds
